"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"459","RS Muhammadiyah Palembang","Jl. A. Yani 13 Ulu, Palembang",13,"47 menit",10,"47 menit",47,"47 menit","0711511446","16","1671",2021-08-06 22:49:57,"Non COVID-19"
"460","RS Khusus Paru Palembang","Jl. Merdeka No.10,Palembang",2,"17 jam",5,"17 jam",14,"17 jam","0711352010","16","1671",2021-08-06 22:49:57,"Non COVID-19"
"461","RS Khusus Mata Masyarakat Provinsi Sumatera Selat","Jl. Kol. H. Burlian KM.6 ",7,"13 jam",6,"13 jam",20,"13 jam","07115612838","16","1671",2021-08-06 22:49:57,"Non COVID-19"
"462","RS Ibu dan Anak Az-Zahra Palembang","Jl.Brigjend Hasan Kasim No. 1-2 Kel. Bukit Sangkal Kec. Kalidoni Palembang",12,NA,9,NA,9,NA,"0711822723","16","1671",2021-08-06 22:49:57,"Non COVID-19"
"463","RS Umum Daerah Siti Fatimah Provinsi Sumatera Sela","Jl. Kol. H. Burlian Km 6 ",3,"12 jam",9,"12 jam",7,"12 jam","07115718889","16","1671",2021-08-06 22:49:57,"Non COVID-19"
"464","RS Umum Daerah Gandus Palembang","Jl. Sofyan Kenawas Gandus Palembang",NA,NA,NA,NA,32,"17 jam","081377666447","16","1671",2021-08-06 22:49:57,"Non COVID-19"
"465","RS Umum Bintang Laut Palopo","Jl. KH. M. Kasim No. 5 Palopo",4,NA,21,NA,25,NA,"085225356180","73","7373",2021-08-06 22:49:57,"Non COVID-19"
"466","RS Umum St. Madyang","JL. Andi Kambo NO.87 ",11,"kurang dari 1 menit",10,"kurang dari 1 menit",27,"kurang dari 1 menit","hotline tidak tersedia","73","7373",2021-08-06 22:49:57,"Non COVID-19"
"467","RS Umum Daerah Sawerigading","   Jl. Dr. Ratulangi KM.7 Rampoang Kota Palopo",33,"4 jam",35,"4 jam",68,"4 jam","04173312133","73","7373",2021-08-06 22:49:57,"Non COVID-19"
"468","RS Umum Anutapura Palu","Jl. Kangkung No. 1 Palu",18,"14 jam",20,"14 jam",63,"14 jam","085242816072","72","7271",2021-08-06 22:49:58,"Non COVID-19"
"469","RS Umum Daerah Andi Makkasau Parepare","    Jl. Nurussamawati No.9 Kota Parepare",19,"13 jam",19,"13 jam",45,"13 jam","hotline tidak tersedia","73","7372",2021-08-06 22:49:58,"Non COVID-19"
"470","RS Umum Daerah Pariaman","Jl. Prof M Yamin SH No 5, Desa Kampung Baru, Kecamatan Pariaman Tengah",27,"18 jam",21,"18 jam",32,"18 jam","085272041212","13","1377",2021-08-06 22:49:58,"Non COVID-19"
"471","RS Umum Ibnu Sina Kota Payakumbuh","Jl.Pemuda No 14 Payakumbuh",17,"5 jam",18,"5 jam",22,"5 jam","075292222","13","1376",2021-08-06 22:49:59,"Non COVID-19"
"472","RS Umum Daerah Dr. Adnaan WD","Jl. AIS Nasution 25,Balai Kaliki Payakumbuh",16,"20 jam",26,"20 jam",26,"20 jam","082388321233","13","1376",2021-08-06 22:49:59,"Non COVID-19"
"473","RS Umum Karomah Holistic","Jl. Gajah Mada Barat No.124,Pekalongan",7,"49 menit",13,"49 menit",18,"49 menit","0285420218","33","3375",2021-08-06 22:49:59,"Non COVID-19"
"474","RS Tk. IV Pekanbaru","Jl Kesehatan No 2 Pekanbaru",3,"20 jam",13,NA,12,"20 jam","hotline tidak tersedia","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"475","RS Santa Maria Pekanbaru","Jl Ahmad Yani No. 68 Rt/Rw 001/001 Kel.Pulau Karam Kec. Sukajadi",0,"10 jam",0,NA,0,"10 jam","076122213","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"476","RS Umum  Islam Ibnu Sina","Jl Melati No.60 Pekanbaru",2,NA,7,NA,19,NA,"076124242","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"477","RS Jiwa Tampan","Jl H.R. Subrantas Km.12,5 Pekanbaru",3,"12 jam",3,"12 jam",110,"12 jam","076163240","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"478","RS Prof. Dr. Tabrani","Jl Jend. Sudirman 410, Pekanbaru",15,"18 jam",15,"18 jam",12,"18 jam","085374419082","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"479","RS Umum  Bina Kasih","Jl Samanhudi No.3-5,Pekanbaru",5,"12 jam",5,"12 jam",15,"12 jam","076132195","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"480","RS Umum  Awal Bros Pekanbaru","Jl Sudirman No.117 Pekanbaru",7,"14 jam",5,"14 jam",5,"14 jam","08117079090","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"481","RS Awal Bros A. Yani","Jl A. Yani No. 73",4,"17 jam",26,"17 jam",12,"17 jam","076121000","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"482","RS Ibu dan Anak  Annisa","Jl Garuda No.66 Kel.Tangkerang Tengah Kec.Marpoyan Damai",7,"38 jam",1,"38 jam",4,"38 jam","085264596519","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"483","RS Ibu dan Anak  Zainab","Jl Ronggo warsito I No 01",14,"19 jam",18,"19 jam",0,"19 jam","082211631200","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"484","RS Umum  Awal Bros Panam","Jl HR. Soebrantas No 88 Panam",9,"19 jam",0,"19 jam",12,"19 jam","0761586888","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"485","RS Umum  Aulia Hospital","Jl HR Soebrantas No 63",10,"5 jam",34,"5 jam",37,"5 jam","07616700000","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"486","RS Umum  Prima Pekanbaru","Jl Bima NO.1 Tuanku Tambusai Kel. Delima Kec. Tampan",11,"12 jam",6,"12 jam",14,"12 jam","082385938114","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"487","RS Daerah Madani Kota Pekanbaru","Jl. Garuda Sakti Pekanbaru",0,NA,0,"12 jam",0,"12 jam","hotline tidak tersedia","14","1471",2021-08-06 22:49:59,"Non COVID-19"
"488","RS Umum Daerah Dr. Djasamen Saragih","Jl Sutomo No. 230, Pematangsiantar",14,"36 jam",44,NA,42,NA,"062222959","12","1273",2021-08-06 22:49:59,"Non COVID-19"
"489","RS Umum Harapan","Jl Farel Pasaribu No. 21",18,NA,17,NA,34,NA,"hotline tidak tersedia","12","1273",2021-08-06 22:49:59,"Non COVID-19"
"490","RS Umum Vita Insani","Jl. Merdeka No.329, Pematang Siantar",18,NA,21,NA,62,"kurang dari 1 menit","062222520","12","1273",2021-08-06 22:49:59,"Non COVID-19"
"491","RS Umum Tiara Kasih Sejati","Jl Menambin No.4, Timbang Galung, Pematangsiantar",26,NA,24,NA,33,NA,"081370989113","12","1273",2021-08-06 22:49:59,"Non COVID-19"
"492","RS Umum Daerah Dr. Soedarso Pontianak","Jl. dr. Soedarso No.1 Pontianak",12,"3 jam",17,NA,134,"3 jam","0561737701","61","6171",2021-08-06 22:50:00,"Non COVID-19"
"493","RS Umum St. Antonius Pontianak","Jl. KH. Wahid Hasyim No. 249 Pontianak",15,"13 jam",33,"13 jam",36,"13 jam","hotline tidak tersedia","61","6171",2021-08-06 22:50:00,"Non COVID-19"
"494","RS Umum Fadhilah Kota Prabumulih","Jl. Jenderal Sudirman No.01 Kel. Patih Galung Kec. Prabumulih Barat",20,NA,3,NA,13,NA,"07133300032","16","1672",2021-08-06 22:50:00,"Non COVID-19"
"495","RS Umum Daerah Kota Prabumulih","Jl. Lingkar, Kel. Gunung Ibul, Kec. Prabumulih Timur",15,"10 jam",23,"10 jam",22,"10 jam","07133300400","16","1672",2021-08-06 22:50:00,"Non COVID-19"
"496","RS Pertamina Kota Prabumulih","Jl. Kesehatan No.100,Prabumulih",14,"15 jam",15,"15 jam",43,"15 jam","0713382742","16","1672",2021-08-06 22:50:00,"Non COVID-19"
"497","RS AR Bunda Kota Prabumulih","Jl. Angkatan 45 Kel.Prabumulih Timur",18,"20 jam",19,"19 jam",53,"19 jam","08127166809","16","1672",2021-08-06 22:50:00,"Non COVID-19"
"498","RS Umum Daerah dr. Mohamad Saleh Kota Probolinggo","  Jl. Mayjend Panjaitan No.65 Kota Probolinggo",14,"kurang dari 1 menit",11,"kurang dari 1 menit",24,"kurang dari 1 menit","085231229303","35","3574",2021-08-06 22:50:00,"Non COVID-19"
"499","RS Ibu dan Anak Amanah","Jln dr Moh. Saleh No. 43 Kota Probolinggo",3,NA,15,NA,0,NA,"0335423487","35","3574",2021-08-06 22:50:00,"Non COVID-19"
"500","RS Umum Daerah Salatiga"," Jl. Osamaliki No.19,Salatiga",21,"14 jam",40,"14 jam",58,"14 jam","0298324074","33","3373",2021-08-06 22:50:00,"Non COVID-19"
"501","RS Paru Dr. Ario Wirawan","      Jl. Hasanudin No.806,Salatiga",NA,NA,NA,NA,NA,NA,"0298313514","33","3373",2021-08-06 22:50:00,"Non COVID-19"
"502","RS Ibu dan Anak Hermina Mutiara Bunda","jl. Merak no.8",2,NA,3,NA,3,"15 jam","0298328873","33","3373",2021-08-06 22:50:00,"Non COVID-19"
"503","RS Umum Daerah Abdul Wahab Sjahranie","Jl. Dr. Soetomo, Samarinda",65,"16 jam",25,"16 jam",116,"16 jam","082157702015 ","64","6472",2021-08-06 22:50:01,"Non COVID-19"
"504","RS Umum Dirgahayu","Jl. Gn. Merbabu No.62 Samarinda",17,NA,42,NA,10,NA,"0541742161","64","6472",2021-08-06 22:50:01,"Non COVID-19"
"505","RS Jiwa Atma Husada Mahakam","Jl. Kakap No.23 Samarinda",4,"5 menit",15,"5 menit",28,"4 menit","0541743364","64","6472",2021-08-06 22:50:01,"Non COVID-19"
"506","RS Umum Daerah Inche Abdoel Moeis","Jl. H.A.M.M Rifaddin, Kel. Harapan Baru, Kec. Loa Janan Ilir, Samarinda ",0,"3 menit",5,"3 menit",18,"3 menit","05417269005","64","6472",2021-08-06 22:50:01,"Non COVID-19"
"507","RS Mata Provinsi Kalimantan Timur","Jl. Basuki Rahmat No. 1 Samarinda 75112",2,"14 jam",2,"14 jam",3,"14 jam","081341531480","64","6472",2021-08-06 22:50:01,"Non COVID-19"
"508","RS Ibu dan Anak Plamongan Indah","jl. kelapa gading raya no. 52 semarang",2,"11 jam",8,"15 jam",6,"15 jam","0246711771","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"509","RS Umum Pusat Dr. Kariadi","Jl. Dr. Soetomo No.16,Semarang",33,"kurang dari 1 menit",53,"kurang dari 1 menit",95,"kurang dari 1 menit","0248414281","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"510","RS Umum St. Elisabeth Semarang","Jl. Kawi No.1,Semarang",4,NA,16,NA,13,NA,"0248310076","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"511","RS Umum Telogorejo Semarang","Jl. KH. Ahmad Dahlan Semarang",0,"20 jam",0,"20 jam",0,"20 jam","02486466000","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"512","RS Umum Roemani Muhammadiyah","Jl. Wonodri No. 22,Semarang",8,NA,24,NA,22,NA,"0248444623","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"513","RS Umum Bhayangkara Semarang ","   JL.MAJAPAHIT NO.140 SEMARANG",2,"39 jam",2,"39 jam",13,"39 jam","0246720947","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"514","RS Umum Panti Wilasa Citarum","Jl. Citarum No 98 Semarang",9,"4 menit",19,"4 menit",12,"4 menit","024-3542224","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"515","RS Jiwa Daerah  Dr. Amino Gondohutomo","Jl. Brigjen Sudiarto No. 347, Pedurungan, Kota Semarang",10,"3 jam",13,"3 jam",47,"3 jam","0246722565","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"516","RS Umum Daerah Tugurejo Semarang","Jl. WALISONGO KM 8,5 NO 137  Semarang",7,"15 jam",20,"15 jam",46,"15 jam","0247609100","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"517","RS Panti Wilasa ","Jl. Dr. Cipto 50, Bugangan, Semarang Timur",2,"5 menit",14,"5 menit",5,"5 menit","08156696040","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"518","RS Ibu dan Anak Bunda Semarang","Jl. Brigjen Katamso No. 8",2,NA,1,"15 jam",6,"15 jam","081575008811","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"519","RS Umum Banyumanik","Jl. Bina Remaja Srondol No.61,Semarang",3,"38 jam",5,"38 jam",5,"38 jam","0247471519","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"520","RS Umum Daerah KRMT Wongsonegoro","  Jl. Fatmawati Raya No.1",9,"kurang dari 1 menit",5,"kurang dari 1 menit",42,"kurang dari 1 menit","1500219","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"521","Siloam Hospitals Semarang","Jl. Kompol Maksum No. 296 
Peterongan",4,NA,2,NA,1,NA,"02486001900","33","3374",2021-08-06 22:50:02,"Non COVID-19"
"522","RS Umum Daerah Kota Serang","Jl. Raya Jakarta KM. 04 Lingk Kp. Turus Rt. 02 Rw. 11 Kelurahan Penancangan Kecamatan Cipocok Jaya",NA,NA,2,"12 jam",5,"12 jam","081808853055","36","3673",2021-08-06 22:50:02,"Non COVID-19"
"523","RS Umum Daerah Kota Subulussalam","  Jl. Hamzah Fansyuri (Subulussalam-Rundeng) Kec. Simpang Kiri Kota Subulussalam Aceh 24782",0,NA,3,NA,30,NA,"085260077824","11","1175",2021-08-06 22:50:03,"Non COVID-19"
"524","RS Umum Daerah R. Syamsudin, SH","Jl. Rumah Sakit No. 1 Kota Sukabumi",10,NA,34,"38 jam",68,"13 jam","0266225180","32","3272",2021-08-06 22:50:03,"Non COVID-19"
"525","RS Umum Bhayangkara Setukpa Lemdikpol","Jl. Aminta Azmali No. 59A Kota Sukabumi",2,"20 jam",5,"20 jam",5,NA,"08568734424","32","3272",2021-08-06 22:50:03,"Non COVID-19"
"526","RS Umum Kartika Kasih"," Jl. Jenderal Ahmad Yani No.18A, Kota Sukabumi",23,NA,24,"14 jam",9,"14 jam","02666250905","32","3272",2021-08-06 22:50:03,"Non COVID-19"
"527","RS Umum Daerah Al-Mulk"," Jl. Pelabuhan 2 KM 6, Lembursitu",2,"14 jam",4,"14 jam",14,"14 jam","081317948042","32","3272",2021-08-06 22:50:03,"Non COVID-19"
"528","RS Umum Melati","Jl. Ahmad Yani No. 36 Kel/Kec. Sungai Penuh",4,"13 jam",2,"13 jam",10,"13 jam","074821145","15","1572",2021-08-06 22:50:03,"Non COVID-19"
"529","RS Primasatya Husada Citra (PHC) Surabaya","Jl. Prapat Kurung Selatan no 1 Tanjung Perak Surabaya",14,NA,17,NA,6,NA,"0313294118","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"530","RS Marinir Ewa Pangalila Gunungsari","Jl. Golf  No. 1 Surabaya",2,"15 jam",12,"15 jam",33,"12 jam","0315682405","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"531","RS Mata Undaan","Jl. Undaan Kulon 17-19 Surabaya",NA,NA,NA,NA,5,NA,"0315343806","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"532","RS Umum Daerah Bhakti Dharma Husada","Jl. Raya Kendung No.115-117, Surabaya ",10,"20 jam",6,"20 jam",4,"20 jam","0317409135","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"533","RS Muji Rahayu","JL.RAYA MANUKAN WETAN 68-68 A Surabaya",7,NA,9,NA,18,"9 jam","0317404132","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"534","RS Umum Haji Surabaya"," Jl. Manyar Kertoadi  Surabaya",6,NA,26,NA,34,NA,"0315924000","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"535","RS Umum Daerah dr. Mohamad Soewandhie","Jl. Tambakrejo No. 45-47 Surabaya",5,"17 jam",14,"17 jam",31,"17 jam","0313717141","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"536","RS Ibu dan Anak Pura Raharja","Jl. Pucang Adi No.12 - 14 Surabaya",2,"15 jam",13,"15 jam",1,"15 jam","0315019898","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"537","RS Mata Masyarakat Jawa Timur"," JL. Gayung Kebonsari Timur No 49 Surabaya",2,"14 jam",6,"14 jam",17,"14 jam","03182010000","35","3578",2021-08-06 22:50:03,"Non COVID-19"
"538","RS Umum Daerah Dr. Moewardi Surakarta","  Jl. Kol Sutarto 132,Surakarta",33,NA,41,NA,67,NA,"0271642642","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"539","RS Jiwa Daerah Surakarta","  Jl. K.H. Dewantoro 80, Jebres, Surakarta",4,"39 jam",11,"39 jam",24,"39 jam","0271641442","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"540","RS Umum Panti Waluyo","Jl. Jend A Yani No.1",5,"49 menit",5,"49 menit",21,"49 menit","0271712077","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"541","RS Umum PKU Muhammadiyah Surakarta","Jl. Ronggowarsito 130, Surakarta",35,NA,13,NA,21,NA,"0271714578","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"542","RS Umum Islam Kustati","Jl. Kapt. Mulyadi No.249",8,NA,30,NA,43,NA,"0271643013","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"543","RS Umum Kasih Ibu","Jl. Slamet Riyadi 404,Surakarta",0,NA,0,NA,5,NA,"0271714422","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"544","RS Umum Triharsi","Jl. Monginsidi No.82,Surakarta",24,NA,5,NA,7,NA,"02712936000","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"545","RS Umum Daerah Kota Surakarta","  Jln. Lettu Sumarto No. 1 Kelurahan Kadipiro, Kecamatan Banjarsari, Kota Surakarta",1,"23 jam",4,"23 jam",15,"23 jam","0271715700","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"546","RS Umum Daerah Bung Karno Kota Surakarta","Jl. Sungai Serang 1 RT 03 Rw 03 Kelurahan Mojo Kecamatan Pasar Kliwon",4,"36 jam",10,"36 jam",28,"36 jam","02712936666","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"547","RS Onkologi Solo","Jl. Siwalan No.37 RT.002 RW.014 Kerten, Laweyan Surakarta",NA,NA,NA,NA,NA,NA,"02717651717","33","3372",2021-08-06 22:50:04,"Non COVID-19"
"548","RS Medika Lestari","Jl. HOS Cokroaminoto Perum Pondok Lestari Blok C1",4,"15 jam",0,NA,21,"15 jam","0215854858","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"549","RS Bunda Sejati","Jl. Prabu Siliwangi No. 11 Jatiuwung Tangerang",2,NA,8,NA,6,NA,"082111614478","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"550","RSUP Dr. Sitanala Tangerang","Jl. Dr Sitanala No. 99 Kota Tangerang",4,"15 jam",4,"15 jam",20,"15 jam","0215523059","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"551","RS Sari Asih Karawaci","Jl. Imam Bonjol No 38 Karawaci Sukajadi Kota Tangerang",4,NA,7,NA,6,NA,"0215522794","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"552","RS An-Nisa ","Jl. Gatot Subroto No 96 Km 3 Kel. Uwung Jaya Kec. Cibodas Tangerang",6,NA,3,NA,9,NA,"08118128374","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"553","RS  Mayapada","Jl. Honoris Raya Kav.6 Tangerang",7,NA,12,NA,8,NA,"081211901057","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"554"," RS Melati","Jl. Merdeka No. 92, Kota Tangerang",2,NA,1,NA,2,NA,"0215523945","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"555","RS Umum Hermina Tangerang","Jl. KS, Tubun No.10 Kel. Pasar Baru Kec. Karawaci Kota Tangerang",15,NA,20,NA,18,NA,"02155771920","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"556","RS Primaya","Jl.MH.Thamrin No.3 Cikokol Kota Tangerang",9,"12 jam",6,"12 jam",NA,NA,"081287776565","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"557","RS Umum Daerah Kota Tangerang","Jl Pulau Puteri Raya Perumahan Modernland",NA,NA,NA,NA,19,"12 jam","02129720200","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"558","RS Tiara ","JALAN BERINGIN RAYA NO.3,4,5 KEL.NUSA JAYA. KEC.KARAWACI",0,"4 jam",NA,NA,1,"2 jam","02129238000","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"559","RS Ibu dan Anak Karunia Bunda","Jl. Aria Santika No. 28, Kel. Margasari, Kec. Karawaci, Kota Tangerang 15113",9,"12 jam",3,"12 jam",5,"12 jam","hotline tidak tersedia","36","3671",2021-08-06 22:50:04,"Non COVID-19"
"560","RS Umum Daerah Kota Tangerang Selatan"," Jl. Pajajaran No.101, Kec.Pamulang, Kota Tangerang Selatan ",7,NA,11,NA,21,"31 jam","089517775161","36","3674",2021-08-06 22:50:05,"Non COVID-19"
"561","RS Umum Daerah Tarakan","Jl P. Irian No. 01 Skip Tarakan",29,"16 jam",24,"16 jam",55,"16 jam","085251493366","65","6571",2021-08-06 22:50:05,"Non COVID-19"
"562","RS Umum Daerah dr. Soekardjo"," Jl. Rumah Sakit 33 Tasikmalaya",4,"15 jam",9,"15 jam",65,"15 jam","0265331683","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"563","RS Umum Islam Hj. Siti Muniroh","Jl. Tamansari Gobras No.228 Kota Tasikmalaya",6,NA,6,NA,11,NA,"0265323868","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"564","RS Umum Jasa Kartini","Jl. Otto Iskandar Dinata No 15",8,NA,21,NA,37,NA,"08112163983","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"565","RS Ibu dan Anak dr. Hj. Karmini EH","Jl.RSU No 56 Tasikmalaya",2,"14 jam",5,"14 jam",0,"14 jam","0265330644","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"566","RS Umum Tasik Medika Citratama (TMC)","Jl. H.Z. Mustofa No. 310 Cihideung Kota Tasikmalaya",31,"15 jam",8,"15 jam",23,"15 jam","0265323555","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"567","RS Ibu dan Anak Widaningsih","JL. Sutisna Senjaya No 130 Tawang Kota Tasikmalaya",4,"15 jam",7,"15 jam",7,"15 jam","0265334154","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"568","RS Ibu dan Anak Bunda Aisyah","Jl. RE. Martadinata No. 200 B Cipedes Kota Tasikmalaya",5,"18 jam",3,"18 jam",15,"18 jam","02657297401","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"569","RS Umum Prasetya Bunda","Jl. Ir. H. Juanda No.1, Indihiang Kota Tasikmalaya",18,"14 jam",22,"14 jam",29,"14 jam","082318337202","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"570","RS Umum Permata Bunda","Jl. HR. Wasita Kusumah No. 1 Indihiang Kota Tasikmalaya",2,NA,2,NA,0,NA,"08112118830","32","3278",2021-08-06 22:50:06,"Non COVID-19"
"571","RS Umum Sri Pamela","Jl Jend Sudirman  No. 299",12,"14 jam",17,"14 jam",20,"14 jam","082213059800","12","1274",2021-08-06 22:50:06,"Non COVID-19"
"572","RS Bhayangkara Tk.III Kota Tebing Tinggi","Jl Pahlawan No 17",NA,NA,NA,NA,NA,NA,"hotline tidak tersedia","12","1274",2021-08-06 22:50:06,"Non COVID-19"
"573","RS Umum Daerah Dr. H. Chasan Boesoirie Ternate","Jl. Cempaka Kel. Tanah Tinggi Kota Ternate",42,"14 jam",35,"14 jam",22,"14 jam","hotline tidak tersedia","82","8271",2021-08-06 22:50:06,"Non COVID-19"
"574","RS Umum Daerah Anugerah","Jl. Pinaras, Kelurahan Tumatangtang Satu Kecamatan Tomohon Selatan ",20,"36 jam",4,"36 jam",28,"36 jam","085342939953","71","7173",2021-08-06 22:50:07,"Non COVID-19"
"575","RS Umum Panti Rapih","Jl. Cik Di Tiro 30 Yogyakarta",2,NA,2,NA,8,NA,"0274552118","34","3471",2021-08-06 22:50:08,"Non COVID-19"
"576","RS Bethesda Yogyakarta","Jl Jend. Sudirman No. 70 Kotabaru Yogyakarta",22,NA,34,NA,34,NA,"0274586688","34","3471",2021-08-06 22:50:08,"Non COVID-19"
"577","RS  Mata Dr. Yap","Jl Cik Di Tiro No. 5 Yogyakarta",13,"18 jam",6,"12 jam",5,"18 jam","hotline tidak tersedia","34","3471",2021-08-06 22:50:08,"Non COVID-19"
"578","RS Bethesda Lempuyangwangi","Jl Hayam Wuruk No.6 Yogyakarta",1,NA,8,NA,13,NA,"hotline tidak tersedia","34","3471",2021-08-06 22:50:08,"Non COVID-19"
"579","RS Umum Daerah dr. Loekmono Hadi","    Jl. Dr. Lukmonohadi No.19,Kudus",13,"14 jam",19,"14 jam",31,"14 jam","0291444001","33","3319",2021-08-06 22:50:09,"Non COVID-19"
"580","RS Umum Kumala Siwimijen Kudus","Jl. Jepara KM. 6 Desa Mijen Kec. Kaliwungu",5,NA,18,NA,20,NA,"02914245551","33","3319",2021-08-06 22:50:09,"Non COVID-19"
"581","RS Ibu dan Anak Harapan Bunda","JL Kudus Jepara km 4 garung lor kaliwungu Kudus",3,"15 jam",NA,NA,NA,NA,"082328594821","33","3319",2021-08-06 22:50:09,"Non COVID-19"
"582","RS Umum Mardi Rahayu","Jl. AKBP R Agil 110,Kudus",8,NA,4,NA,7,NA,"0291434707","33","3319",2021-08-06 22:50:09,"Non COVID-19"
"583","RS Umum  Islam Sunan Kudus","Jl. Kudus Permai No.1, Kaliwungu, Kudus",7,"15 jam",4,"15 jam",19,"15 jam","0291432008","33","3319",2021-08-06 22:50:09,"Non COVID-19"
"584","RS Umum Daerah Wates","Jl Tentara Pelajar Km.1 No.5 Wates Kulon Progo",21,NA,19,NA,35,"40 menit","0274773169","34","3401",2021-08-06 22:50:10,"Non COVID-19"
"585","RS Umum Rizki Amalia","Jl Wates-Purworejo Km.10, Kalidengen, Temon, KP",5,"19 menit",2,"19 menit",10,"19 menit","02747721568","34","3401",2021-08-06 22:50:10,"Non COVID-19"
"586","RS Umum Daerah Nyi Ageng Serang","Jl Sentolo - Muntilan KM 0,3",3,NA,16,NA,19,NA,"02742890181","34","3401",2021-08-06 22:50:10,"Non COVID-19"
"587","RS Umum Daerah 45 Kuningan","Jl. Jendral Sudirman No. 68 Kuningan",8,NA,7,NA,26,NA,"0232871885","32","3208",2021-08-06 22:50:11,"Non COVID-19"
"588","RS Umum Wijaya Kusumah","Jl. RE Martadinata No. 172 Kab. Kuningan",12,NA,19,"14 jam",19,"14 jam","0232871565","32","3208",2021-08-06 22:50:11,"Non COVID-19"
"589","RS Umum Juanda","Jl. Ir. H. Juanda No. 207, Kuningan",20,"15 jam",17,"14 jam",30,"14 jam","0232876433","32","3208",2021-08-06 22:50:11,"Non COVID-19"
"590","RS Umum Daerah Linggajati Kuningan","Jl. Bandorasa - Cilimus No.36 Kec.Cilimus  Kab. Kuningan",5,NA,17,NA,21,NA,"0232614884","32","3208",2021-08-06 22:50:11,"Non COVID-19"
"591","RS Umum KMC Luragung","Dusun Rahayu RT.002/001 Desa Cirahayu Kec. Luragung Kab. Kuningan",5,"15 jam",18,"15 jam",39,"15 jam","02328900112","32","3208",2021-08-06 22:50:11,"Non COVID-19"
"592","RS Jantung Hasna Medika Kuningan","Jl. Raya Cigugur Lingkungan Manis RT. 030 RW. 011 Kecamatan Cigugur",2,"kurang dari 1 menit",6,"kurang dari 1 menit",13,"kurang dari 1 menit","02328611111","32","3208",2021-08-06 22:50:11,"Non COVID-19"
